id,family,accuracy,x1_0,x1_1,x1_2,x1_3,x1_4,x1_5,x1_6,x1_7,x1_8,x1_9,x2_0,x2_1,x2_2,x2_3,x2_4,x2_5,x2_6,x2_7,x2_8,x2_9,x2_10,x2_11,x3_0,x3_1,x3_2,x3_3,x3_4,x3_5,x3_6,x3_7,x3_8,x3_9,x3_10,x3_11,x3_12,x3_13,x3_14,x3_15,x3_16,x3_17,x3_18,x3_19,x3_20,x3_21
11,B_Deep,48.120000000000005,0.04588607594936709,0.3699269480519479,0.42375601926163725,3.625,2.461579777297498,0.1375,0.15,1.8125,0.031219571567672837,0.0483621145128764,0.3083319463291947,0.1481541307292713,0.782292902469635,15.108265370130539,49.0,0.39189308881759644,0.011027897397677103,0.006361026689606793,0.01761479675769806,0.06616738438606262,6.0,0.01693270355463028,0.00959959815241752,0.07739058033568705,0.08865189309429115,0.7583682540409841,0.5149748849356408,0.028765692394658017,0.03138075533962693,0.37918412702049203,0.006531291581154095,0.010117597888237299,0.005971403883801084,0.0028692717772857536,0.015150512075351844,0.2925987903062531,0.9489733184956972,0.0075897160202196634,0.00021357510998987151,0.0001231927470750175,0.0003411422884444893,0.001281450659939229,0.1162008145096772,0.0003279323241498242
12,B_Deep,56.19,0.025,0.24550595238095235,0.5247148288973384,1.975,2.15624094200996,0.1125,0.375,0.9875,0.011915774099318401,0.028946024333741147,0.30542481234487223,0.12158501925379014,0.6745170950889587,14.965815804898739,49.0,0.3651266098022461,0.014475859701633453,0.013349950827377584,0.043811261653900146,0.26056547462940216,18.0,0.020640768110752106,0.007899518648721087,0.07757515396821456,0.16579978304540077,0.6240619732489658,0.6813306213017442,0.03554783391924489,0.11849277973081629,0.3120309866244829,0.0037651551884605367,0.009146386361228902,0.005623571916003344,0.002238659310070358,0.012419408114502881,0.27555502388416386,0.902202482400216,0.006722819056203295,0.0002665338072998153,0.00024580324033430357,0.0008066658983925328,0.004797608531396677,0.3314213200653855,0.000380043923023832
13,B_Deep,53.98,0.02120253164556962,0.21660714285714291,0.4869109947643979,1.675,1.90902462006125,0.1,0.4375,0.8375,0.00641025641025641,0.014981771286110843,0.2961036850299154,0.139213774306195,0.7246213555335999,14.509080566465855,49.0,0.35554972290992737,0.016786457349856693,0.015488033155329423,0.051609933376312256,0.20143748819828033,12.0,0.022385384887456894,0.007672047707752228,0.07837839186468795,0.1761867141012913,0.606091768912426,0.6907726023106239,0.036184583218652304,0.1583075515816038,0.303045884456213,0.0023195245652982244,0.005421091498650933,0.0056400024265733165,0.00265165907955534,0.013802145701575624,0.2763601189020925,0.9333221194939597,0.006772294305546602,0.00031973820311353486,0.0002950066108433628,0.0009830345388922817,0.0038368584373624183,0.22856868232505137,0.0004263831605887617
14,B_Deep,58.47,0.015822784810126583,0.06339285714285714,0.26582278481012656,1.25,1.2893796958227628,0.0875,0.45,0.625,0.002373417721518987,0.00511193638155641,0.32566817713027096,0.1325957628271218,0.7118372321128845,15.957740679383278,49.0,0.3918868899345398,0.014440012164413929,0.014375404880524498,0.047612130641937256,0.23104019463062286,16.0,0.025864213705062866,0.00801141459030978,0.03209716031217682,0.13459176511720428,0.6329017526344726,0.6528405354380238,0.044303122684413075,0.22784463094841012,0.3164508763172363,0.0012017121885464666,0.0025882827961943803,0.006034524999214672,0.0024569561957849383,0.013190111512917917,0.2956917249615189,0.907954002651106,0.00726153612862365,0.00026756871108184264,0.0002663715592041319,0.000882237236552945,0.004281099377309482,0.2964747763758714,0.0004792554358966413
15,B_Deep,59.5,0.008227848101265823,0.08083333333333334,0.2926829268292683,0.65,1.1191514642799696,0.075,0.725,0.325,0.0009087958455047063,0.0030908364866237036,0.3567925010408674,0.143414566716432,0.7492370009422302,17.482832551002502,49.0,0.4301534593105316,0.019751442968845366,0.016528542342636364,0.05425390601158142,0.19751442968845367,10.0,0.031336959451436996,0.005306466734593968,0.052132634086145616,0.18876286920807062,0.4192108720329235,0.7217853250426605,0.04837048523456809,0.46758135726749156,0.20960543601646175,0.000586118613682963,0.001993403475182616,0.00673362743902733,0.002706615914798528,0.014140103318206448,0.32994774451233916,0.9247608723551805,0.008118144658747058,0.00037276248224781704,0.0003119377395007335,0.0010239161112642042,0.0037276248224781708,0.1887267086439144,0.000591412121617751
16,B_Deep,58.220000000000006,0.02088607594936709,0.1564484126984127,0.5023923444976076,1.65,2.037768387231483,0.1125,0.5125,0.825,0.0014443362544628367,0.003270061767068598,0.3178327959410998,0.1244228347729828,0.6929775476455688,15.573807001113892,49.0,0.3659420311450958,0.012535687822561998,0.011421292057420493,0.04441651701927185,0.16296394169330597,13.0,0.01521274447441101,0.007334879778338474,0.054942359753772374,0.17643273238021642,0.5794555024887394,0.7156340028962953,0.03950832971514132,0.1799823909245327,0.2897277512443697,0.000507229448540889,0.001148397142064212,0.00599225715326919,0.0023458045589373508,0.013065044639709348,0.29362060051019034,0.9238209658030493,0.006899284094701877,0.00023634145369887244,0.00021533120528989584,0.0008374063193949244,0.0030724388980853416,0.2450953582742784,0.0002868133120992935
17,B_Deep,57.11000000000001,0.023101265822784812,0.1786607142857143,0.31343283582089554,1.825,1.8759997334754606,0.1,0.375,0.9125,0.008085848750405713,0.0167053802889909,0.3639227066721235,0.1319139341794559,0.8036158680915833,17.83221262693405,49.0,0.40745285153388977,0.022120587527751923,0.01656458972774741,0.07040813565254211,0.35392940044403076,16.0,0.03325756639242172,0.008185806005608358,0.0633074377475814,0.1110631949564855,0.6466786744430603,0.6647501484380521,0.035434447914688236,0.13287917968008087,0.32333933722153013,0.0028651758639229815,0.005919459277453075,0.006670935468600169,0.0024180666009201448,0.014730791729387575,0.3268758379614083,0.8982012717769418,0.007468870804834311,0.00040548448673224355,0.0003036395012229794,0.001290626060950138,0.006487751787715897,0.2932902111924708,0.0006096324169363116
18,B_Deep,58.79,0.002531645569620253,0.0,0.0,0.2,0.48476798574163293,0.025,0.9,0.1,4.057124310288868e-05,0.00020766770353894398,0.3960103146275695,0.17045226969071264,0.8073574900627136,19.404505416750908,49.0,0.46750307083129883,0.011839677890141806,0.011378059380109428,0.042979419231414795,0.14207613468170166,12.0,0.011339455842971802,0.0024186367883200707,0.0,0.0,0.19107230627728558,0.4631286852252405,0.023884038284660698,0.8598253782477852,0.09553615313864279,3.876020494102678e-05,0.00019839773527246824,0.007325222199911126,0.003152950071863409,0.014934138811595967,0.35893588779564517,0.9063801485403449,0.008647663322104898,0.00021900508172931768,0.00021046626838866218,0.0007950141303499489,0.002628060980751812,0.22197064862212526,0.00020975219737386658
19,B_Deep,56.830000000000005,0.04746835443037975,0.2575252525252526,0.4583333333333333,3.75,3.6176649927819464,0.175,0.225,1.875,0.026760791950665365,0.043153990285986266,0.31380855520160833,0.12106743217444227,0.763870120048523,15.376619204878807,49.0,0.35166922211647034,0.015223942697048187,0.010497875981151103,0.03834828734397888,0.21313519775867462,14.0,0.021434485912322998,0.008521707374630072,0.0462319553717961,0.08228181898392813,0.6732148825957756,0.6494575769030787,0.03141669452113619,0.04039289295574654,0.3366074412978878,0.004804203576329909,0.007747175601045196,0.005894422010534137,0.0022740697318127923,0.014348151999586691,0.28882667851617266,0.9203913460250124,0.006605577728558106,0.00028595887981109876,0.00019718682050398595,0.0007203149348220137,0.004003424317355383,0.2629689560071464,0.00040261459877953326
20,B_Deep,59.91,0.008544303797468355,0.05833333333333333,0.3333333333333333,0.675,1.0580051984749415,0.05,0.7125,0.3375,0.0008073677377474847,0.0029020182241983844,0.35701504349708557,0.14127035733383053,0.758916437625885,17.493737131357193,49.0,0.42184674739837646,0.014210018846723769,0.01941518147213773,0.06326588988304138,0.12789016962051392,9.0,0.014624819159507751,0.005617292688843852,0.038350158727538886,0.21914376415736506,0.4437661224186643,0.6955657250755763,0.032871564623604764,0.46841979588636784,0.22188306120933216,0.0005307888153276005,0.0019078775919123183,0.006760298831524163,0.00267504086734847,0.014370548244274847,0.331254642744684,0.9278450552109245,0.0079879269108244,0.0002690754228854427,0.0003676383698968521,0.0011979784304387512,0.0024216788059689847,0.17042052034486369,0.00027692992123476033
